Apple Silicon Metal-Accelerated Crofton Descriptor Results
========================================================
Processing time: 216 ms
Image size: 800x450
Contours found: 16
Largest contour area: 148320 pixels
Boundary points: 239
Projection angles: 361

Algorithm Pipeline:
1. HSV color masking [100,20,20] to [180,255,255] (CUDA-replicated)
2. Top-hat morphological transform (15x15 ellipse)
3. Logical OR combination
4. Two-step morphology: open(3x3) + close(5x5)
5. Largest contour selection
6. 🚀 Metal GPU-accelerated Crofton descriptor

Metal GPU Enhancements:
- Native Apple Silicon Metal compute shaders
- Parallel projection computation (GPU)
- Parallel descriptor computation (1 thread per angle)
- Enhanced BANDA parameter (20.0 vs 10.0)
- Gradual attenuation instead of hard cutoff

Descriptor values:
Angle 0: 438
Angle 1: 440
Angle 2: 440
Angle 3: 439
Angle 4: 440
Angle 5: 436
Angle 6: 440
Angle 7: 439
Angle 8: 434
Angle 9: 431
Angle 10: 429
Angle 11: 438
Angle 12: 435
Angle 13: 432
Angle 14: 431
Angle 15: 438
Angle 16: 435
Angle 17: 433
Angle 18: 434
Angle 19: 439
Angle 20: 435
Angle 21: 436
Angle 22: 437
Angle 23: 438
Angle 24: 438
Angle 25: 439
Angle 26: 439
Angle 27: 440
Angle 28: 436
Angle 29: 432
Angle 30: 429
Angle 31: 437
Angle 32: 434
Angle 33: 438
Angle 34: 434
Angle 35: 431
Angle 36: 437
Angle 37: 433
Angle 38: 433
Angle 39: 438
Angle 40: 437
Angle 41: 435
Angle 42: 439
Angle 43: 437
Angle 44: 440
Angle 45: 438
Angle 46: 439
Angle 47: 440
Angle 48: 440
Angle 49: 435
Angle 50: 440
Angle 51: 434
Angle 52: 439
Angle 53: 434
Angle 54: 431
Angle 55: 435
Angle 56: 432
Angle 57: 437
Angle 58: 434
Angle 59: 438
Angle 60: 436
Angle 61: 436
Angle 62: 437
Angle 63: 438
Angle 64: 439
Angle 65: 439
Angle 66: 440
Angle 67: 431
Angle 68: 439
Angle 69: 433
Angle 70: 432
Angle 71: 437
Angle 72: 434
Angle 73: 440
Angle 74: 435
Angle 75: 436
Angle 76: 437
Angle 77: 438
Angle 78: 439
Angle 79: 439
Angle 80: 440
Angle 81: 435
Angle 82: 433
Angle 83: 438
Angle 84: 437
Angle 85: 440
Angle 86: 440
Angle 87: 440
Angle 88: 439
Angle 89: 438
Angle 90: 440
Angle 91: 440
Angle 92: 440
Angle 93: 439
Angle 94: 440
Angle 95: 440
Angle 96: 439
Angle 97: 440
Angle 98: 440
Angle 99: 439
Angle 100: 440
Angle 101: 439
Angle 102: 440
Angle 103: 439
Angle 104: 440
Angle 105: 440
Angle 106: 440
Angle 107: 440
Angle 108: 440
Angle 109: 440
Angle 110: 440
Angle 111: 440
Angle 112: 440
Angle 113: 439
Angle 114: 440
Angle 115: 440
Angle 116: 440
Angle 117: 439
Angle 118: 440
Angle 119: 437
Angle 120: 439
Angle 121: 438
Angle 122: 440
Angle 123: 440
Angle 124: 440
Angle 125: 440
Angle 126: 439
Angle 127: 440
Angle 128: 438
Angle 129: 439
Angle 130: 440
Angle 131: 440
Angle 132: 440
Angle 133: 439
Angle 134: 440
Angle 135: 438
Angle 136: 438
Angle 137: 438
Angle 138: 440
Angle 139: 440
Angle 140: 438
Angle 141: 439
Angle 142: 440
Angle 143: 435
Angle 144: 440
Angle 145: 440
Angle 146: 440
Angle 147: 440
Angle 148: 438
Angle 149: 439
Angle 150: 436
Angle 151: 437
Angle 152: 439
Angle 153: 437
Angle 154: 438
Angle 155: 440
Angle 156: 440
Angle 157: 431
Angle 158: 431
Angle 159: 437
Angle 160: 440
Angle 161: 439
Angle 162: 440
Angle 163: 437
Angle 164: 436
Angle 165: 440
Angle 166: 440
Angle 167: 439
Angle 168: 439
Angle 169: 438
Angle 170: 440
Angle 171: 437
Angle 172: 436
Angle 173: 440
Angle 174: 440
Angle 175: 438
Angle 176: 440
Angle 177: 436
Angle 178: 435
Angle 179: 438
Angle 180: 436
Angle 181: 440
Angle 182: 440
Angle 183: 440
Angle 184: 439
Angle 185: 438
Angle 186: 439
Angle 187: 440
Angle 188: 438
Angle 189: 437
Angle 190: 438
Angle 191: 435
Angle 192: 434
Angle 193: 435
Angle 194: 438
Angle 195: 432
Angle 196: 432
Angle 197: 434
Angle 198: 437
Angle 199: 440
Angle 200: 431
Angle 201: 434
Angle 202: 437
Angle 203: 427
Angle 204: 429
Angle 205: 433
Angle 206: 440
Angle 207: 440
Angle 208: 439
Angle 209: 438
Angle 210: 438
Angle 211: 437
Angle 212: 437
Angle 213: 435
Angle 214: 435
Angle 215: 438
Angle 216: 433
Angle 217: 433
Angle 218: 437
Angle 219: 437
Angle 220: 433
Angle 221: 437
Angle 222: 440
Angle 223: 434
Angle 224: 439
Angle 225: 433
Angle 226: 440
Angle 227: 440
Angle 228: 439
Angle 229: 438
Angle 230: 440
Angle 231: 437
Angle 232: 440
Angle 233: 435
Angle 234: 438
Angle 235: 434
Angle 236: 436
Angle 237: 432
Angle 238: 436
Angle 239: 432
Angle 240: 437
Angle 241: 430
Angle 242: 435
Angle 243: 428
Angle 244: 440
Angle 245: 440
Angle 246: 439
Angle 247: 438
Angle 248: 440
Angle 249: 437
Angle 250: 436
Angle 251: 435
Angle 252: 434
Angle 253: 440
Angle 254: 433
Angle 255: 436
Angle 256: 431
Angle 257: 435
Angle 258: 430
Angle 259: 440
Angle 260: 439
Angle 261: 438
Angle 262: 437
Angle 263: 436
Angle 264: 436
Angle 265: 440
Angle 266: 440
Angle 267: 440
Angle 268: 440
Angle 269: 438
Angle 270: 440
Angle 271: 440
Angle 272: 440
Angle 273: 440
Angle 274: 439
Angle 275: 439
Angle 276: 440
Angle 277: 440
Angle 278: 439
Angle 279: 440
Angle 280: 439
Angle 281: 440
Angle 282: 439
Angle 283: 440
Angle 284: 440
Angle 285: 440
Angle 286: 439
Angle 287: 440
Angle 288: 440
Angle 289: 440
Angle 290: 439
Angle 291: 440
Angle 292: 439
Angle 293: 440
Angle 294: 440
Angle 295: 440
Angle 296: 440
Angle 297: 440
Angle 298: 440
Angle 299: 436
Angle 300: 440
Angle 301: 436
Angle 302: 439
Angle 303: 440
Angle 304: 440
Angle 305: 440
Angle 306: 440
Angle 307: 439
Angle 308: 436
Angle 309: 440
Angle 310: 439
Angle 311: 440
Angle 312: 440
Angle 313: 440
Angle 314: 440
Angle 315: 438
Angle 316: 434
Angle 317: 435
Angle 318: 439
Angle 319: 440
Angle 320: 438
Angle 321: 440
Angle 322: 439
Angle 323: 438
Angle 324: 439
Angle 325: 440
Angle 326: 440
Angle 327: 440
Angle 328: 438
Angle 329: 440
Angle 330: 438
Angle 331: 436
Angle 332: 440
Angle 333: 433
Angle 334: 437
Angle 335: 439
Angle 336: 439
Angle 337: 438
Angle 338: 438
Angle 339: 438
Angle 340: 439
Angle 341: 440
Angle 342: 440
Angle 343: 438
Angle 344: 438
Angle 345: 439
Angle 346: 440
Angle 347: 440
Angle 348: 434
Angle 349: 435
Angle 350: 439
Angle 351: 437
Angle 352: 438
Angle 353: 439
Angle 354: 440
Angle 355: 437
Angle 356: 440
Angle 357: 437
Angle 358: 437
Angle 359: 437
Angle 360: 438
