Apple Silicon Enhanced Edge Detection - Simple Version Results
============================================================
Number of boundary points: 239
Number of projection angles: 361
Contour area: 10611 pixels

Improvements made:
- Multi-scale Sobel edge detection (3x3 + 5x5 kernels)
- Expanded HSV color range for better detection
- Multi-scale top-hat transforms (7x7, 15x15, 25x25)
- Enhanced morphological operations
- CPU-optimized implementation for Apple Silicon

Descriptor values:
Angle 0: 474
Angle 1: 476.65
Angle 2: 479.156
Angle 3: 481.515
Angle 4: 483.727
Angle 5: 485.793
Angle 6: 487.996
Angle 7: 492.818
Angle 8: 497.489
Angle 9: 502.009
Angle 10: 506.376
Angle 11: 510.589
Angle 12: 514.646
Angle 13: 518.547
Angle 14: 522.289
Angle 15: 525.872
Angle 16: 529.296
Angle 17: 532.558
Angle 18: 535.657
Angle 19: 538.594
Angle 20: 541.366
Angle 21: 543.974
Angle 22: 546.416
Angle 23: 548.692
Angle 24: 550.8
Angle 25: 552.74
Angle 26: 554.513
Angle 27: 556.116
Angle 28: 557.55
Angle 29: 558.814
Angle 30: 559.908
Angle 31: 560.831
Angle 32: 561.583
Angle 33: 562.165
Angle 34: 562.575
Angle 35: 562.814
Angle 36: 562.881
Angle 37: 562.777
Angle 38: 562.501
Angle 39: 562.054
Angle 40: 561.436
Angle 41: 560.647
Angle 42: 559.687
Angle 43: 558.557
Angle 44: 557.256
Angle 45: 555.786
Angle 46: 554.146
Angle 47: 552.338
Angle 48: 550.361
Angle 49: 548.217
Angle 50: 545.906
Angle 51: 543.428
Angle 52: 540.785
Angle 53: 537.977
Angle 54: 535.006
Angle 55: 531.871
Angle 56: 528.574
Angle 57: 528.05
Angle 58: 527.878
Angle 59: 527.545
Angle 60: 527.051
Angle 61: 526.397
Angle 62: 525.583
Angle 63: 524.608
Angle 64: 523.474
Angle 65: 522.18
Angle 66: 520.727
Angle 67: 519.116
Angle 68: 517.346
Angle 69: 515.419
Angle 70: 513.335
Angle 71: 511.094
Angle 72: 508.698
Angle 73: 506.147
Angle 74: 503.441
Angle 75: 500.823
Angle 76: 498.066
Angle 77: 495.157
Angle 78: 492.097
Angle 79: 488.887
Angle 80: 485.529
Angle 81: 482.022
